[log] 运行日志写入: log\run_ACM_20260718_071845.log
Using CPU
Using CPU
  [cs_full_graph] ACM: merged ['pap.npz', 'psp.npz'] -> 4359766 directed edges (no sparsify)
  [sparsify] psp.npz: 4338213 -> 344296 edges (avg_deg 1079 -> 86, top-k=50)
[data] 多关系 R=2: pap(53834 edges), psp(344296 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=4 icra_heads=4 icra_dim=128
[IGQC] 全量图邻接表就绪, lambda=0.5, pos=20 neg=512 B=8 gate=True
(T) | Epoch=126, loss=11.2945, con=7.4542, intent=2.3038, rec=0.0287, igqc=6.1437, this epoch 132.0761, total 16875.5097
(T) | Epoch=127, loss=11.2454, con=7.3653, intent=2.3060, rec=0.0324, igqc=6.2155, this epoch 134.4970, total 17010.0067
(T) | Epoch=128, loss=11.2573, con=7.3316, intent=2.3086, rec=0.0334, igqc=6.3025, this epoch 132.5569, total 17142.5636
(T) | Epoch=129, loss=11.2840, con=7.3953, intent=2.3058, rec=0.0311, igqc=6.2344, this epoch 135.1526, total 17277.7163
(T) | Epoch=130, loss=11.1739, con=7.4908, intent=2.3038, rec=0.0432, igqc=5.8296, this epoch 136.2871, total 17414.0033  alpha=[pap:0.880, psp:0.120]
(T) | Epoch=131, loss=11.3872, con=7.5402, intent=2.2993, rec=0.0539, igqc=6.1639, this epoch 140.4920, total 17554.4953
(T) | Epoch=132, loss=11.3957, con=7.5418, intent=2.2962, rec=0.0532, igqc=6.1842, this epoch 128.7295, total 17683.2248
(T) | Epoch=133, loss=11.1776, con=7.5300, intent=2.2940, rec=0.0492, igqc=5.7773, this epoch 126.5292, total 17809.7540
(T) | Epoch=134, loss=11.1641, con=7.5157, intent=2.2939, rec=0.0425, igqc=5.7827, this epoch 127.1909, total 17936.9448
(T) | Epoch=135, loss=11.1012, con=7.4919, intent=2.2946, rec=0.0452, igqc=5.7045, this epoch 133.9373, total 18070.8821
(T) | Epoch=136, loss=11.0444, con=7.4487, intent=2.2945, rec=0.0377, igqc=5.6767, this epoch 131.3542, total 18202.2363
(T) | Epoch=137, loss=11.0185, con=7.4150, intent=2.2945, rec=0.0300, igqc=5.6904, this epoch 131.5331, total 18333.7695
(T) | Epoch=138, loss=11.0745, con=7.4184, intent=2.2942, rec=0.0284, igqc=5.7910, this epoch 137.6649, total 18471.4344
(T) | Epoch=139, loss=11.0964, con=7.4358, intent=2.2949, rec=0.0260, igqc=5.7939, this epoch 128.5256, total 18599.9599
(T) | Epoch=140, loss=11.1243, con=7.4265, intent=2.2941, rec=0.0230, igqc=5.8638, this epoch 138.1897, total 18738.1497  alpha=[pap:0.882, psp:0.118]
(T) | Epoch=141, loss=10.8983, con=7.3731, intent=2.2980, rec=0.0221, igqc=5.5112, this epoch 131.6630, total 18869.8127
(T) | Epoch=142, loss=11.0506, con=7.3174, intent=2.2984, rec=0.0193, igqc=5.9212, this epoch 130.8680, total 19000.6807
(T) | Epoch=143, loss=10.9808, con=7.3055, intent=2.2994, rec=0.0175, igqc=5.8036, this epoch 138.1282, total 19138.8088
(T) | Epoch=144, loss=11.0805, con=7.3514, intent=2.3011, rec=0.0185, igqc=5.9113, this epoch 132.8601, total 19271.6689
(T) | Epoch=145, loss=11.0735, con=7.4207, intent=2.2953, rec=0.0188, igqc=5.7686, this epoch 134.6997, total 19406.3686
(T) | Epoch=146, loss=11.2480, con=7.4688, intent=2.2936, rec=0.0191, igqc=6.0261, this epoch 132.5153, total 19538.8839
(T) | Epoch=147, loss=11.0092, con=7.4819, intent=2.2907, rec=0.0190, igqc=5.5273, this epoch 133.3874, total 19672.2713
(T) | Epoch=148, loss=11.0527, con=7.4515, intent=2.2890, rec=0.0213, igqc=5.6756, this epoch 127.2446, total 19799.5159
(T) | Epoch=149, loss=10.9678, con=7.3846, intent=2.2881, rec=0.0223, igqc=5.6375, this epoch 139.0132, total 19938.5291
(T) | Epoch=150, loss=11.1662, con=7.3143, intent=2.2881, rec=0.0240, igqc=6.1687, this epoch 131.8316, total 20070.3607  alpha=[pap:0.901, psp:0.099]
(T) | Epoch=151, loss=10.8697, con=7.2755, intent=2.2885, rec=0.0273, igqc=5.6520, this epoch 130.9025, total 20201.2632
(T) | Epoch=152, loss=10.9799, con=7.2598, intent=2.2899, rec=0.0206, igqc=5.9077, this epoch 126.0326, total 20327.2957
(T) | Epoch=153, loss=11.0095, con=7.2371, intent=2.2902, rec=0.0253, igqc=6.0201, this epoch 127.9366, total 20455.2323
(T) | Epoch=154, loss=10.9812, con=7.2008, intent=2.2885, rec=0.0407, igqc=6.0427, this epoch 131.5501, total 20586.7823
(T) | Epoch=155, loss=10.7676, con=7.2375, intent=2.2884, rec=0.0484, igqc=5.5460, this epoch 131.3853, total 20718.1676
(T) | Epoch=156, loss=10.8997, con=7.3819, intent=2.2861, rec=0.0639, igqc=5.5266, this epoch 129.5106, total 20847.6782
(T) | Epoch=157, loss=11.1440, con=7.4403, intent=2.2841, rec=0.1114, igqc=5.8961, this epoch 134.4755, total 20982.1537
(T) | Epoch=158, loss=10.8655, con=7.3364, intent=2.2829, rec=0.0758, igqc=5.5578, this epoch 124.0738, total 21106.2275
(T) | Epoch=159, loss=10.9332, con=7.2914, intent=2.2826, rec=0.0810, igqc=5.7868, this epoch 131.3096, total 21237.5371
(T) | Epoch=160, loss=11.0667, con=7.4863, intent=2.2811, rec=0.0621, igqc=5.6774, this epoch 126.3470, total 21363.8840  alpha=[pap:0.935, psp:0.065]
(T) | Epoch=161, loss=11.2558, con=7.6053, intent=2.2801, rec=0.0541, igqc=5.8255, this epoch 131.9995, total 21495.8836
(T) | Epoch=162, loss=11.1438, con=7.5859, intent=2.2810, rec=0.0435, igqc=5.6444, this epoch 131.2094, total 21627.0929
(T) | Epoch=163, loss=11.0827, con=7.5665, intent=2.2810, rec=0.0652, igqc=5.5562, this epoch 135.8846, total 21762.9775
(T) | Epoch=164, loss=11.1930, con=7.6215, intent=2.2806, rec=0.0625, igqc=5.6665, this epoch 126.8363, total 21889.8138
(T) | Epoch=165, loss=11.3125, con=7.6575, intent=2.2810, rec=0.0743, igqc=5.8270, this epoch 129.0953, total 22018.9091
(T) | Epoch=166, loss=11.1972, con=7.6369, intent=2.2788, rec=0.0742, igqc=5.6310, this epoch 134.3725, total 22153.2816
(T) | Epoch=167, loss=11.1210, con=7.5567, intent=2.2807, rec=0.0489, igqc=5.6291, this epoch 133.1759, total 22286.4576
(T) | Epoch=168, loss=10.9545, con=7.4537, intent=2.2799, rec=0.0597, igqc=5.4811, this epoch 134.0592, total 22420.5167
(T) | Epoch=169, loss=11.0414, con=7.3755, intent=2.2806, rec=0.0304, igqc=5.7909, this epoch 132.2023, total 22552.7190
(T) | Epoch=170, loss=10.9681, con=7.3612, intent=2.2803, rec=0.0276, igqc=5.6497, this epoch 133.0748, total 22685.7938  alpha=[pap:0.921, psp:0.079]
(T) | Epoch=171, loss=11.0723, con=7.3854, intent=2.2792, rec=0.0187, igqc=5.7963, this epoch 131.1926, total 22816.9865
(T) | Epoch=172, loss=11.1172, con=7.4118, intent=2.2796, rec=0.0166, igqc=5.8253, this epoch 133.6122, total 22950.5987
(T) | Epoch=173, loss=11.1369, con=7.4178, intent=2.2790, rec=0.0174, igqc=5.8515, this epoch 128.3048, total 23078.9034
