[log] 运行日志写入: log\run_ACM_20260714_095128.log
Using CPU
Using CPU
  [sparsify] psp.npz: 4338213 -> 344296 edges (avg_deg 1079 -> 86, top-k=50)
[data] 多关系 R=2: pap(53834 edges), psp(344296 edges)
[intent] dynamic query-based, dim=256
[encoder] MultiRelation+ICRA  R=2 hii_heads=4 icra_heads=4 icra_dim=128
(T) | Epoch=137, loss=8.1103, con=7.3221, intent=2.2882, rec=0.0150, this epoch 185.7374, total 20575.1745
(T) | Epoch=138, loss=8.2858, con=7.5013, intent=2.2900, rec=0.0146, this epoch 166.4459, total 20741.6204
(T) | Epoch=139, loss=8.3608, con=7.5803, intent=2.2864, rec=0.0142, this epoch 168.0984, total 20909.7189
(T) | Epoch=140, loss=8.2808, con=7.4993, intent=2.2865, rec=0.0145, this epoch 172.1134, total 21081.8322  alpha=[pap:0.905, psp:0.095]
(T) | Epoch=141, loss=8.0806, con=7.2960, intent=2.2839, rec=0.0137, this epoch 180.6163, total 21262.4485
(T) | Epoch=142, loss=7.9308, con=7.1424, intent=2.2831, rec=0.0140, this epoch 200.1837, total 21462.6323
(T) | Epoch=143, loss=7.9864, con=7.1981, intent=2.2831, rec=0.0136, this epoch 177.8893, total 21640.5215
(T) | Epoch=144, loss=8.1061, con=7.3202, intent=2.2838, rec=0.0146, this epoch 172.1421, total 21812.6636
(T) | Epoch=145, loss=8.1502, con=7.3675, intent=2.2822, rec=0.0135, this epoch 165.2530, total 21977.9166
(T) | Epoch=146, loss=8.1400, con=7.3594, intent=2.2810, rec=0.0149, this epoch 156.0075, total 22133.9241
(T) | Epoch=147, loss=8.1286, con=7.3499, intent=2.2797, rec=0.0135, this epoch 182.1058, total 22316.0300
(T) | Epoch=148, loss=8.1139, con=7.3364, intent=2.2792, rec=0.0129, this epoch 179.7473, total 22495.7773
(T) | Epoch=149, loss=8.0590, con=7.2806, intent=2.2796, rec=0.0120, this epoch 182.1885, total 22677.9658
(T) | Epoch=150, loss=7.9784, con=7.1986, intent=2.2770, rec=0.0108, this epoch 170.5294, total 22848.4952  alpha=[pap:0.892, psp:0.108]
(T) | Epoch=151, loss=7.9828, con=7.2008, intent=2.2766, rec=0.0119, this epoch 165.4896, total 23013.9848
(T) | Epoch=152, loss=8.1134, con=7.3315, intent=2.2765, rec=0.0096, this epoch 168.5810, total 23182.5658
